fips,mean_pm25,mean_winter_temp,mean_summer_temp,mean_winter_rm,mean_summer_rm,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,NAME,land_area,year,hispanic_pct,poverty,poverty_mcare,population,median_house_value,blk_pct,white_pct,native_pct,asian_pct,no_grad,no_grad_mcare,median_household_income,owner_occupied,median_age,age_pct_0_14,age_pct_15_44,age_pct_45_65,age_pct_65_plus,population_density,q_popdensity,obese,smoke,Population,older_pecent,young_pecent,prime_pecent,mid_pecent
42013,9.002960304,275.3754727,299.657482,84.39384193,90.17534585,Blair,Pennsylvania,US,2021/11/1 4:22,40.47961444,-78.34917412,17908,388,NA,NA,"Blair, Pennsylvania, US",Blair County,525.8013203,2016,0.011356687,0.147880857,0.093773085,125917,112600,0.01602643,0.958472645,0.000214427,0.007409643,0.165038437,0.155905577,44033,0.706696236,43.1,0.171144484,0.354844858,0.280899323,0.193111335,239.4763861,1,0.308,0.185420621,2288455,0.17943416,0.176839396,0.373586546,0.270139898
42015,7.898465997,274.2437951,298.9444398,87.88003728,92.24163525,Bradford,Pennsylvania,US,2021/11/1 4:22,41.78869215,-76.51570822,7897,123,NA,NA,"Bradford, Pennsylvania, US",Bradford County,1147.417375,2016,0.014334714,0.124234011,0.08487788,61808,139200,0.005678877,0.971055527,0.001035465,0.006520192,0.18473403,0.155745251,51035,0.747865866,44.3,0.182646259,0.326608206,0.297421046,0.193324489,53.86705951,1,0.375,0.182194807,1122068,0.173224796,0.191698721,0.353822585,0.281253899
42017,10.00096143,278.1604097,301.8939465,81.61815107,89.33042779,Bucks,Pennsylvania,US,2021/11/1 4:22,40.33682119,-75.10836643,74066,1427,NA,NA,"Bucks, Pennsylvania, US",Bucks County,604.4279734,2016,0.048543643,0.059291544,0.056648401,626220,311600,0.038686085,0.887997828,0.001451567,0.044201718,0.144265453,0.126592349,79559,0.765486025,43.3,0.172311648,0.350373671,0.310716681,0.166598001,1036.053968,1,0.269,0.143697683,11113434,0.143064241,0.19066357,0.378821973,0.287450216
42019,10.22462748,275.9292425,300.3423837,89.82990146,91.6989947,Butler,Pennsylvania,US,2021/11/1 4:22,40.91152759,-79.91351055,25452,503,NA,NA,"Butler, Pennsylvania, US",Butler County,788.5948885,2016,0.013120114,0.084527252,0.059563074,185974,183200,0.010958521,0.961892523,0.000774302,0.010318647,0.141585761,0.133599392,63345,0.767167813,43,0.169190317,0.358480218,0.302563799,0.169765666,235.8295783,1,0.311,0.165310344,3263661,0.152206066,0.186680847,0.384737569,0.276375518
42021,8.372359494,274.7289888,298.8288404,89.12275743,91.78065821,Cambria,Pennsylvania,US,2021/11/1 4:22,40.49527404,-78.71377428,19936,513,NA,NA,"Cambria, Pennsylvania, US",Cambria County,688.3612692,2016,0.015258199,0.155946649,0.085335206,137762,88200,0.033332849,0.938488117,0.000515382,0.004783612,0.161780986,0.176757604,42917,0.740850142,44.7,0.158527025,0.344652371,0.293005328,0.203815276,200.1303765,1,0.271,0.182052747,2606209,0.194700041,0.162843041,0.364938499,0.277518419
42023,7.720898113,274.0025076,298.7419604,89.1240523,91.40523484,Cameron,Pennsylvania,US,2021/11/1 4:22,41.43625568,-78.20376845,512,11,NA,NA,"Cameron, Pennsylvania, US",Cameron County,396.2309316,2016,0.008113168,0.12705783,0.080470163,4807,68400,0.006032869,0.978156855,0.00145621,0.00228833,0.174747475,0.213473316,40347,0.689529035,50.4,0.138755981,0.292906178,0.330559601,0.23777824,12.13181409,1,0.25,0.17680382,95335,0.211370431,0,0.327739026,0.299480778
42025,8.419921994,275.0493952,299.26416,82.78727371,90.2709834,Carbon,Pennsylvania,US,2021/11/1 4:22,40.91545395,-75.7068525,9026,202,NA,NA,"Carbon, Pennsylvania, US",Carbon County,381.4602882,2016,0.040665319,0.12052823,0.064465409,64330,141300,0.018047567,0.961153428,0.001585574,0.004678999,0.179320108,0.165420115,50822,0.780149537,45.5,0.161122338,0.332877351,0.310632675,0.195367636,168.6414077,1,0.364,0.179844861,1130503,0.183574037,0.171433424,0.359013643,0.285978896
42027,8.252715454,274.837101,299.4205618,84.33531574,88.45505373,Centre,Pennsylvania,US,2021/11/1 4:22,40.92058903,-77.82200624,21115,244,NA,NA,"Centre, Pennsylvania, US",Centre County,1109.862197,2016,0.027579188,0.19147017,0.056518109,159178,206000,0.037963789,0.879983415,0.001564287,0.058010529,0.111807973,0.108087641,54407,0.610060136,30.8,0.126323989,0.526555177,0.222681526,0.124439307,143.421409,1,0.252,0.169943031,2690023,0.11240573,0.134615949,0.547349967,0.205628353
42029,10.97572622,278.177289,301.8621023,81.5251527,89.61630678,Chester,Pennsylvania,US,2021/11/1 4:22,39.97291773,-75.74768357,51438,879,NA,NA,"Chester, Pennsylvania, US",Chester County,750.5243186,2016,0.070623091,0.071862439,0.046975672,512028,331000,0.058408915,0.861333755,0.001218683,0.046321686,0.155776045,0.104947124,88995,0.752604153,40.3,0.192860547,0.372512831,0.288913888,0.145712734,682.2270608,1,0.222,0.146683392,8654674,0.128929524,0.205353084,0.393557054,0.272160338
42031,8.843015603,274.7836812,299.6495866,91.49659114,92.16641082,Clarion,Pennsylvania,US,2021/11/1 4:22,41.19265812,-79.42413524,4919,124,NA,NA,"Clarion, Pennsylvania, US",Clarion County,600.8363799,2016,0.007730039,0.185578311,0.09402852,38939,108100,0.011864711,0.967384884,0.001335422,0.006137805,0.173596147,0.188123104,42890,0.693336699,40.8,0.153599219,0.393487249,0.27517399,0.177739541,64.80799316,1,0.332,0.194082746,724670,0.163283978,0.163590324,0.416840769,0.25628493
